Blattner	name
b2306	hisP
b0601	ybdM
b0134	panB
b2332	yfcO
b2399	yfeD
b2784	relA
b3825	pldB
b1816	yoaE
b0865	ybjP
b4092	phnP
b4120	melB
b0560	nohD
b3226	nanR
b0439	lon
b1796	yoaG
b0705	ybfL
b4143	groL
b4032	malG
b2897	sdhE
b1722	ydiY
b0425	panE
b2767	ygcO
b0489	qmcA
b1706	ydiU
b2692	argZ
b3450	ugpC
b0759	galE
b3202	rpoN
b3659	setC
b4328	iadA
b3344	tusC
b0978	appC
b1734	chbF
b3287	def
b4137	cutA
b0321	yahG
b0133	panC
b0964	yccT
b2667	ygaV
b0201	rrsH
b1462	yddH
b0324	yahJ
b4096	phnL
b0062	araA
b2643	yfjX
b4046	zur
b1293	sapB
b1671	ydhX
b0632	dacA
b3386	rpe
b2674	nrdI
b4586	ykfM
b3974	coaA
b2408	yfeN
b4321	gntP
b1104	ycfL
b2623	yfjH
b4099	phnI
b3374	frlD
b0744	valT
b4148	gdx
b0885	aat
b0098	secA
b3842	rfaH
b1870	cmoA
b4262	lptG
b2386	fryC
b0835	rimO
b2302	yfcG
NIL	naRNA3
b3639	dfp
b2181	yejG
b1111	comR
b4010	rrfE
b0728	sucC
b0869	ybjT
b4613	dinQ
b4226	ppa
b1388	paaA
b2357	yfdN
b2405	xapR
b4175	hflC
b1446	ydcY
b0453	ybaY
b3232	zapE
b3326	gspE
b2901	bglA
b3859	srkA
b1930	yedF
b0131	panD
b2099	yegU
b0813	rhtA
b1136	icd
b0600	ybdL
b1549	ydfO
b4102	phnF
b3094	exuR
b2189	proL
b0979	appB
b2963	mltC
b3609	secB
b1990	ldtA
b0969	tusE
b3615	waaH
b4205	ytfA
b3580	lyxK
b0168	map
b1971	msrP
NIL	nc1
b3634	coaD
b1404	insI-2
b1299	puuR
b3316	rpsS
b0729	sucD
b0310	ykgH
b4746	yddY
b3728	pstS
b4087	alsA
b1359	ydaU
b2531	iscR
b1272	sohB
b1180	ycgM
b1655	mepH
b1999	yeeP
b0922	mukF
b1821	mntP
b4090	rpiB
b0618	citC
b1806	yeaY
b0103	coaE
b0540	insE-3
b2200	ccmB
b0726	sucA
NIL	naRNA2
b1148	ymfM
b2501	ppk
b3907	rhaT
b3174	leuU
b3364	tsgA
b3911	cpxA
b4513	kdpF
b0174	ispU
b3606	trmL
b3104	yhaI
b3667	uhpC
b1120	cobB
b2072	pphC
b3826	yigL
b4676	yoaK
b3360	pabA
b0016	insL-1
b2248	yfaX
b3314	rpsC
b0730	mngR
b4707	esrE
b4729	ykgV
b0383	phoA
b3749	rbsA
b0555	rrrD
b0020	nhaR
b2494	bepA
b0868	ybjS
b2010	dacD
b0083	ftsL
b2835	lplT
b1819	manZ
b4616	istR
b1427	rimL
b1673	ydhV
b3177	folP
NIL	insEF-4
b0569	nfrB
b0727	sucB
